id,source,text,favorite_count,retweet_count,created_y,created_m,created_d,created_h,created_min
1252235263327125506,Twitter for iPhone,"Congratulations to all of my many friends at The Villages in Florida on having done so well, and with such great spirit, during these rather unusual times. So proud of everyone! Mark Morse &amp; Gary Lester have really stepped up to the plate. Hope to see everyone soon.",86590,15822,2020,4,20,13,58
1252204786059018240,Twitter for iPhone,https://t.co/cU6gIdMgGi,396427,107734,2020,4,20,11,57
1252046878314770432,Twitter Media Studio,"BRILLIANT, A MUST WATCH! @RepDanCrenshaw https://t.co/W6pGsJQ2ua",246166,92682,2020,4,20,1,30
1251967168771735555,Twitter for iPhone,White House News Conference at 5:45. Thank you!,114608,17480,2020,4,19,20,13
1251958283503624192,Twitter for iPhone,Thank you to my boy! https://t.co/GAFe1AdZpt,147651,48544,2020,4,19,19,38
1251953233184149504,Twitter for iPhone,"“On February 19th there was a Democratic Debate, in Las Vegas. Three words weren’t said: Virus, CoronaVirus, or COVID19. NEVER came up!” @BretBaier",110845,32183,2020,4,19,19,18
1251952575403958280,Twitter for iPhone,Great book by @SenatorTimScott! https://t.co/9o31w3DhJr,36431,9101,2020,4,19,19,15
1251952315826921480,Twitter for iPhone,".@FoxNews “Dems say President Trump is trying to open the United States Economy too quickly”, but, if I took even a little more time, they would loudly chant that I am moving too slowly. Just political talking points for them. For me it’s about lives &amp;  the future of our Country!",176853,38004,2020,4,19,19,14
1251918194639548417,Twitter for iPhone,"Nervous Nancy is an inherently “dumb” person. She wasted all of her time on the Impeachment Hoax. She will be overthrown, either by inside or out, just like her last time as “Speaker”. Wallace &amp; @FoxNews are on a bad path, watch! https://t.co/nkEj5YeRjb",91321,26078,2020,4,19,16,58
1251912553602654214,Twitter for iPhone,"Just like I was right on Ventilators (our Country is now the “King of Ventilators”, other countries are calling asking for help-we will!), I am right on testing. Governors must be able to step up and get the job done. We will be with you ALL THE WAY!",189689,33422,2020,4,19,16,36
1251869990497763328,Twitter for iPhone,Great credit must be given to @FEMA and all of those that are helping our States make it big! https://t.co/MwWfmZjQIN,64329,14709,2020,4,19,13,47
1251869194158817281,Twitter for iPhone,Look forward to this! https://t.co/0JkHERaE8M,51365,9198,2020,4,19,13,44
1251713028246122498,Twitter for iPhone,CONGRATULATIONS @AF_Academy! https://t.co/27HxXLNbd8,79820,14667,2020,4,19,3,23
1251670585165459456,Twitter for iPhone,"Great new book out by @realKTMcFarland, “Revolution: Trump, Washington, and We the People”. Get your copy today! https://t.co/KBkladnmPQ",52431,13409,2020,4,19,0,34
1251657119595626502,Twitter for iPhone,"Will be online tomorrow morning at 10:30am (Eastern) watching @jackngraham from @Prestonwood Baptist in Dallas, Texas. You can join us at https://t.co/Nx4ePPySmn. https://t.co/mheZBjYHrx",41830,11348,2020,4,18,23,41
1251589681428520960,Twitter for iPhone,"China wants Sleepy Joe sooo badly. They want all of those billions of dollars that they have been paying to the U.S. back, and much more. Joe is an easy mark, their DREAM CANDIDATE! https://t.co/vmvCr4SkQq",121358,34247,2020,4,18,19,13
1251587087696101376,Twitter for iPhone,"I gave up on Drudge (a really nice guy) long ago, as have many others. People are dropping off like flies! https://t.co/L77SXS2mE8",60250,16159,2020,4,18,19,3
1251576806534250496,Twitter for iPhone,"The most often used phrase in the Lamestream Media, by far, is “sources say”, or “officials who spoke on the condition of anonymity”, or anything similar which allows Fake News to make up a phony quote from a person who doesn’t even exist. The American people should demand NAMES!",178067,41814,2020,4,18,18,22
1251561332790439938,Twitter for iPhone,"....them happy, or even a little bit satisfied. They were RUDE and NASTY. This is their political playbook, and they will use it right up to the election on November 3rd. They will not change because they feel that this is the only way they can win. America will not be fooled!!!",84790,19903,2020,4,18,17,20
1251561244106141697,Twitter for iPhone,"....Example! V.P. Mike Pence held a conference call yesterday with all Democrat Senators. He gave them everything that they would have wanted to hear in terms of gaining ground on the CoronaVirus, but nothing that anyone could have said, including “it’s over”, could have made....",68858,15955,2020,4,18,17,20
1251561224120254464,Twitter for iPhone,"No matter what you do for the Do Nothing Democrats, no matter how GREAT a job you are doing, they will only respond to their Fake partners in the Lamestream Media in the negative, even in a time of crisis. I thought it would be different, but it’s not. In fact, it’s even worse...",167394,37473,2020,4,18,17,20
1251557409061056519,Twitter for iPhone,"Great news, thank you! https://t.co/hp4TCZQW9r",71466,16181,2020,4,18,17,5
1251556482379890688,Twitter for iPhone,"Thank you @Honeywell, great job! https://t.co/8MfzxtvDPK",61612,14750,2020,4,18,17,1
1251552150024589312,Twitter for iPhone,I will be having a White House Press Conference today at 5:00 P.M. Thank you!,130804,20575,2020,4,18,16,44
1251550535280472064,Twitter for iPhone,"Really nice to see this and, what a great pick! https://t.co/91104h0sd1",96563,14694,2020,4,18,16,37
1251549076786733056,Twitter for iPhone,John James will be a GREAT Senator for Michigan! https://t.co/yGiWzZ9nR0,51355,14019,2020,4,18,16,32
1251538837328797699,Twitter for iPhone,"Spending the morning speaking to @fema and Military relative to CoronaVirus. Also, spoke to leaders of various countries including Poland, South Korea and Bahrain. Last night had a very gold conversation with the President of Mexico on numerous topics. Border is very strong!",80043,16608,2020,4,18,15,51
1251357415045500928,Twitter for iPhone,An incompetent political hack! Come back to Washington &amp; take care of our great American workers. https://t.co/FZ9mH92j0S,122012,39552,2020,4,18,3,50
1251356731478810624,Twitter for iPhone,This is a disgraceful situation! https://t.co/s2qZSrGw6U,101685,31287,2020,4,18,3,47
1251355367671508993,Twitter for iPhone,Lamestream Media is only getting worse! https://t.co/cuTRo87tz3,50297,14259,2020,4,18,3,42
1251354896651223041,Twitter for iPhone,Cut him off now! https://t.co/kdGybEFeOI,133067,43085,2020,4,18,3,40
1251354295406071814,Twitter for iPhone,Great book. Get it and support Charlie! https://t.co/fG7YXOCk9R,46986,11038,2020,4,18,3,38
1251353550703247361,Twitter for iPhone,They are Fake News Losers! https://t.co/3RHcBZogms,70581,17512,2020,4,18,3,35
1251232404100038656,Twitter for iPhone,White House news conference today at 6:00 P.M. Eastern. Thank you!,106221,18457,2020,4,17,19,33
1251193712580968450,Twitter for iPhone,"Cuomo ridiculously wanted “40 thousand Ventilators”. We gave him a small fraction of that number, and it was plenty. State should have had them in stockpile!",129007,26168,2020,4,17,17,0
1251186839983132673,Twitter for iPhone,The States have to step up their TESTING!,140617,23768,2020,4,17,16,32
1251186179548033025,Twitter for iPhone,"China has just announced a doubling in the number of their deaths from the Invisible Enemy. It is far higher than that and far higher than the U.S., not even close!",272390,61955,2020,4,17,16,30
1251185023459483653,Twitter for iPhone,"Biden/Obama were a disaster in handling the H1N1 Swine Flu. Polling at the time showed disastrous approval numbers. 17,000 people died unnecessarily and through incompetence! Also, don’t forget their 5 Billion Dollar Obamacare website that should have cost close to nothing!",125554,31712,2020,4,17,16,25
1251181566740619265,Twitter for iPhone,"....testing that you should be doing. We have given New York far more money, help and equipment than any other state, by far, &amp; these great men &amp; women who did the job never hear you say thanks. Your numbers are not good. Less talk and more action!",97119,21593,2020,4,17,16,11
1251181563506757632,Twitter for iPhone,"Governor Cuomo should spend more time “doing” and less time “complaining”. Get out there and get the job done. Stop talking! We built you thousands of hospital beds that you didn’t need or use, gave large numbers of Ventilators that you should have had, and helped you with....",143945,32807,2020,4,17,16,11
1251169987110330372,Twitter for iPhone,"LIBERATE VIRGINIA, and save your great 2nd Amendment. It is under siege!",197325,47118,2020,4,17,15,25
1251169217531056130,Twitter for iPhone,LIBERATE MICHIGAN!,212095,43096,2020,4,17,15,22
1251168994066944003,Twitter for iPhone,LIBERATE MINNESOTA!,176603,37408,2020,4,17,15,21
